species	NCBI.taxid	dN	dS	dNdS
Hydra_vulgaris	6087	0.738794246	7.528384173	0.098134503901864
Orbicella_faveolata	48498	0.1386003083	1.212083159	0.114348844195104
Stylophora_pistillata	50429	0.1769137243	1.617990225	0.109341652110414
Acropora_millepora	45264	0.01087523151	0.06292184771	0.172837129006808
Acropora_digitifera	70779	0.02390155359	0.1117737375	0.213838725666662
Owenia_fusiformis	6347	0.5184267344	5.188498837	0.0999184447538115
Octopus_bimaculoides	37653	0.5659456112	5.726913674	0.098822095707392
Pecten_maximus	6579	0.458066676	4.409906767	0.103872190547833
Elysia_chlorotica	188477	0.5642157456	5.424064168	0.104020846384648
Gigantopelta_aegis	1735272	0.3471513382	3.381266534	0.102669024967199
Haliotis_rufescens	6454	0.3105138224	2.910586983	0.10668426135815
Ramazzottius_varieornatus	947166	0.8850475751	8.547255046	0.10354757993494
Echinococcus_granulosus	6210	0.6668403393	6.58471736	0.101270913061635
Schistosoma_haematobium	6185	0.532083979	5.363003185	0.0992138099951548
Clonorchis_sinensis	79923	0.4747359869	4.791467396	0.0990794568061379
Trichuris_suis	68888	0.86249219	8.412270983	0.10252786575028
Steinernema_carpocapsae	34508	0.6493873162	6.467151848	0.1004131851954
Acanthocheilonema_viteae	6277	0.09529277727	0.7148288597	0.133308519902222
Loa_loa	7209	0.08847784308	0.6476571545	0.136612160408088
Caenorhabditis_nigoni	1611254	0.1627557767	1.926747299	0.084471781423787
Caenorhabditis_elegans	6239	0.153714525	1.852489065	0.0829772914206109
Dictyocaulus_viviparus	29172	0.2708278953	2.944425878	0.0919798651830759
Necator_americanus	51031	0.1340124104	1.570103339	0.0853526051892563
Ancylostoma_ceylanicum	53326	0.1432603528	1.669501392	0.0858102625649084
Tetranychus_urticae	32264	0.8384717683	8.412855285	0.0996655404016022
Ixodes_scapularis	6945	0.4413195628	4.328875282	0.101947858057972
Varroa_destructor	109461	0.7836492279	7.750414624	0.101110620001328
Stegodyphus_dumicola	202533	0.4691607615	4.828566702	0.097163566427626
Centruroides_sculpturatus	218467	0.3966809777	4.158408317	0.0953925029628109
Daphnia_galeata	27404	0.6805552051	6.812279	0.0999012525910932
Lepeophtheirus_salmonis	72036	0.617545845	6.20488957	0.0995256785851227
Eurytemora_affinis	88015	0.5772329982	5.734593725	0.100658045867059
Penaeus_chinensis	139456	0.2184260855	2.306311297	0.0947079805679849
Homarus_americanus	6706	0.234520919	2.509348293	0.093458895145888
Cloeon_dipterum	197152	0.6214053069	5.978647756	0.103937434058793
Melanaphis_sacchari	742174	0.04845234787	0.4614692462	0.104995832916243
Acyrthosiphon_pisum	7029	0.055144093	0.5101393686	0.108096132928016
Halyomorpha_halys	286706	0.3916521687	4.043586701	0.0968576161859328
Cimex_lectularius	79782	0.4080844762	4.193186301	0.0973208550506519
Thrips_palmi	161013	0.5133144281	5.194970743	0.0988098785333236
Blattella_germanica	6973	0.2116529857	2.265552552	0.0934222362280476
Zootermopsis_nevadensis	136037	0.1108890773	0.735240754	0.150820090829731
Coptotermes_formosanus	36987	0.1319494933	0.8884105296	0.148523108297027
Cryptotermes_secundus	105785	0.1083547071	0.7393744743	0.146549158601376
Athalia_rosae	37344	0.2675126212	2.906093437	0.0920523124941767
Cephus_cinctus	211228	0.2236747888	2.436936487	0.0917852352710906
Orussus_abietinus	222816	0.2980443911	3.126402206	0.0953314293752772
Chelonus_insularis	460826	0.3802842787	3.735110959	0.101813381951527
Belonocnema_treatae	1159321	0.2990921845	3.10819905	0.0962268438052576
Trichogramma_pretiosum	7493	0.3520765909	3.401415775	0.103508836963632
Nasonia_vitripennis	7425	0.1645829846	1.759348585	0.0935476835024141
Ceratosolen_solmsi	142686	0.2298644394	2.157314138	0.106551213544219
Polistes_canadensis	91411	0.03013143043	0.1993113121	0.151177723494601
Polistes_dominula	743375	0.04330148783	0.2760037269	0.156887330168874
Vespula_vulgaris	7454	0.01993390256	0.098124519	0.203149047385394
Vespula_pensylvanica	30213	0.006380301873	0.04854976278	0.131417776476312
Odontomachus_brunneus	486640	0.07648363044	0.6592684206	0.116012883447977
Harpegnathos_saltator	610380	0.09018188831	0.7988919714	0.11288370835917
Dinoponera_quadriceps	609295	0.08965668929	0.8679042161	0.103302516138105
Linepithema_humile	83485	0.1174814708	1.053447615	0.111520942405855
Nylanderia_fulva	613905	0.08115861821	0.6807635752	0.119217039757388
Camponotus_floridanus	104421	0.06974747239	0.6304303575	0.110634698282276
Pogonomyrmex_barbatus	144034	0.09823112706	0.9410771532	0.104381587339549
Solenopsis_invicta	13686	0.08385101192	0.8345940262	0.100469221307254
Atta_cephalotes	12957	0.02410955145	0.2052711503	0.117452215836294
Acromyrmex_echinatior	103372	0.02036500774	0.175939297	0.115750193886474
Dufourea_novaeangliae	178035	0.1489115381	1.401337373	0.106263874045697
Megachile_rotundata	143995	0.08514749522	0.7613385969	0.111839194238544
Osmia_lignaria	473952	0.009009332173	0.06070063021	0.148422382796213
Osmia_bicornis	1437190	0.00835273562	0.06117542275	0.136537440111111
Habropoda_laboriosa	597456	0.117856186	0.8513795079	0.138429671969322
Eufriesea_mexicana	516756	0.1056695526	0.7027979882	0.150355513780909
Apis_florea	7463	0.01663714191	0.1241854904	0.133970094706008
Apis_cerana	7461	0.01359596398	0.09924418778	0.13699506524391
Apis_mellifera	7460	0.01523616155	0.1089309076	0.139869958726021
Melipona_quadrifasciata	166423	0.101658318	0.8062744723	0.126084009220839
Bombus_terrestris	30195	0.01793843775	0.09649109183	0.185907708263933
Bombus_vosnesenskii	207650	0.003502165634	0.01770859623	0.197766417423139
Bombus_bifarius	103933	0.0007785400802	0.005216780753	0.149237646177154
Bombus_vancouverensis	2705177	0.0000001117368262	0.0000005250621911	0.212806840968519
Photinus_pyralis	7054	0.3018904491	3.375161348	0.0894447458871528
Ignelater_luminosus	2038154	0.2018988939	2.270330946	0.0889292789034643
Nicrophorus_vespilloides	110193	0.3769613209	3.960389045	0.0951829016333419
Onthophagus_taurus	166361	0.3800009959	3.928000681	0.096741580962063
Tribolium_castaneum	7070	0.3048123879	3.497124018	0.0871608745732505
Dendroctonus_ponderosae	77166	0.4341469177	4.53142809	0.0958079680571517
Anoplophora_glabripennis	217634	0.2044135939	2.356349365	0.0867501215805492
Leptinotarsa_decemlineata	7539	0.2307780824	2.601568795	0.0887072764877625
Diabrotica_virgifera	50389	0.2699031718	2.936452875	0.0919146954810232
Eumeta_japonica	151549	0.2936502853	3.0143214	0.0974183726061859
Bombyx_mori	7091	0.2333013698	2.506207476	0.093089407814056
Arctia_plantaginis	874455	0.203866616	2.206109252	0.092410027207483
Papilio_machaon	76193	0.2215956436	2.372627116	0.0933967424150437
Zerene_cesonia	33412	0.1332286187	1.653112192	0.0805926054775597
Pieris_rapae	64459	0.1777874685	2.282291652	0.0778986631021511
Melitaea_cinxia	113334	0.1555603042	1.863547863	0.0834753468309496
Danaus_plexippus	13037	0.2055777348	2.398368125	0.0857156716923929
Anopheles_gambiae	7165	0.2997747322	2.619335379	0.114446868699359
Culex_quinquefasciatus	7176	0.1718356972	1.658903609	0.103583894969994
Aedes_aegypti	7159	0.1634758792	1.812802763	0.0901785249540686
Contarinia_nasturtii	265458	0.4995402041	4.937028905	0.101182353539411
Hermetia_illucens	343691	0.3352718688	3.47736943	0.0964153724673424
Glossina_fuscipes	7396	0.2790118693	2.952230309	0.0945088425010137
Lucilia_cuprina	7375	0.152874458	1.824529671	0.0837884197938045
Musca_domestica	7370	0.189185122	2.193664769	0.0862415828860859
Bactrocera_oleae	104688	0.1234882021	1.488497141	0.0829616656280833
Ceratitis_capitata	7213	0.1218693934	1.463599572	0.0832668960359603
Scaptodrosophila_lebanonensis	7225	0.162843564	1.71838179	0.0947656480926744
Drosophila_grimshawi	7222	0.1801348838	1.646400606	0.109411332298793
Drosophila_guanche	7266	0.05518674767	0.5037825867	0.109544770158686
Drosophila_pseudoobscura	7237	0.0524583511	0.5534953228	0.0947765029605414
Drosophila_subpulchrella	1486046	0.0108041986	0.1423926591	0.0758760926882641
Drosophila_suzukii	28584	0.01355894389	0.1833027876	0.0739702001673214
Drosophila_erecta	7220	0.03241763046	0.3292462809	0.0984601264785312
Drosophila_melanogaster	7227	0.01798642508	0.1844587927	0.0975091770726959
Drosophila_mauritiana	7226	0.005307401753	0.05680618395	0.0934299997632564
Drosophila_sechellia	7238	0.007860580365	0.06882563416	0.114210068108147
Anneissia_japonica	1529436	0.4763769527	4.909574207	0.0970301970425029
Asterias_rubens	7604	0.4366208296	4.245143587	0.102851840144365
Branchiostoma_floridae	7739	0.482418014	3.941746247	0.122386877229137
Paramormyrops_kingsleyae	1676925	0.1943914595	1.655134075	0.117447560554875
Puntigrus_tetrazona	1606681	0.1541902216	1.589750578	0.0969901969112541
Electrophorus_electricus	8005	0.1296260312	1.06352548	0.121883333909405
Colossoma_macropomum	42526	0.08290464455	0.799053644	0.103753540419371
Periophthalmus_magnuspinnatus	409849	0.176084549	1.851284235	0.0951148103953902
Betta_splendens	158456	0.1141275696	0.9504274285	0.120080256711573
Acanthochromis_polyacanthus	80966	0.07248532739	0.6466594307	0.112091966727425
Archocentrus_centrarchus	63155	0.08432089407	0.6814497104	0.123737515451441
Nematolebias_whitei	451745	0.1133432012	0.8332056915	0.136032677592433
Fundulus_heteroclitus	8078	0.1090528035	0.9498458462	0.114811054800399
Lates_calcarifer	8187	0.0429097799	0.3757806327	0.114188375254178
Seriola_lalandi	302047	0.04621910701	0.3566535708	0.129591039580305
Takifugu_flavidus	433684	0.1838146609	1.502305311	0.122355062951648
Micropterus_salmoides	27706	0.05548828206	0.3887430691	0.142737675525544
Notolabrus_celidotus	1203425	0.1039601518	0.9193501904	0.113080035100409
Perca_fluviatilis	8168	0.01270085722	0.09799733623	0.129604106689095
Sander_lucioperca	283035	0.009958805364	0.07593956091	0.131141202881101
Anarrhichthys_ocellatus	433405	0.04505284449	0.2458115909	0.18328201825246
Cyclopterus_lumpus	8103	0.0594501846	0.3611266914	0.164624177652242
Cottoperca_gobio	56716	0.05674481943	0.2947740307	0.192502776771916
Pseudochaenichthys_georgianus	52239	0.01149944605	0.05149429413	0.223314956429329
Gymnodraco_acuticeps	8218	0.008038365197	0.03103437218	0.259014912574268
Xenopus_tropicalis	8364	0.2539499382	2.741614456	0.0926278812267833
Gekko_japonicus	146911	0.1094022502	0.9119486332	0.119965364514129
Varanus_komodoensis	61221	0.140820179	0.9798325433	0.143718618005612
Podarcis_muralis	64176	0.01478400151	0.1130560314	0.130767030532791
Zootoca_vivipara	8524	0.01675657336	0.1203748413	0.139203285163542
Crotalus_tigris	88082	0.03760250665	0.2646824721	0.142066478190491
Ophiophagus_hannah	8665	0.0397399278	0.1808893003	0.219691975888526
Naja_naja	35670	0.02065609694	0.1101871788	0.187463706439864
