species	NCBI.taxid	assembly_accession	clade	clade_group	expression_data	dnds_data	lht_data	Ne_data	nb_rnaseq	entire_taxonomy
Acanthocheilonema_viteae	6277	GCA_900537255.1	Nematoda	Nematoda	TRUE	TRUE	FALSE	FALSE	7	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Protostomia;clade:Ecdysozoa;phylum:Nematoda;class:Chromadorea;order:Rhabditida;suborder:Spirurina;infraorder:Spiruromorpha;superfamily:Filarioidea;family:Onchocercidae;genus:Acanthocheilonema;species:Acanthocheilonema viteae
Acanthochromis_polyacanthus	80966	GCF_002109545.1	Teleostei	Teleostei	TRUE	TRUE	TRUE	FALSE	50	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Deuterostomia;phylum:Chordata;subphylum:Craniata;clade:Vertebrata;clade:Gnathostomata;clade:Teleostomi;clade:Euteleostomi;superclass:Actinopterygii;class:Actinopteri;subclass:Neopterygii;infraclass:Teleostei;clade:Osteoglossocephalai;no rank:Clupeocephala;cohort:Euteleosteomorpha;clade:Neoteleostei;clade:Eurypterygia;clade:Ctenosquamata;clade:Acanthomorphata;clade:Euacanthomorphacea;clade:Percomorphaceae;clade:Ovalentaria;no rank:Ovalentaria incertae sedis;family:Pomacentridae;genus:Acanthochromis;species:Acanthochromis polyacanthus
Acinonyx_jubatus	32536	GCF_003709585.1	Mammalia	Mammalia	TRUE	TRUE	TRUE	FALSE	2	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Deuterostomia;phylum:Chordata;subphylum:Craniata;clade:Vertebrata;clade:Gnathostomata;clade:Teleostomi;clade:Euteleostomi;superclass:Sarcopterygii;clade:Dipnotetrapodomorpha;clade:Tetrapoda;clade:Amniota;class:Mammalia;clade:Theria;clade:Eutheria;clade:Boreoeutheria;superorder:Laurasiatheria;order:Carnivora;suborder:Feliformia;family:Felidae;subfamily:Acinonychinae;genus:Acinonyx;species:Acinonyx jubatus
Acromyrmex_echinatior	103372	GCF_000204515.1	Hymenoptera	Hymenoptera	TRUE	TRUE	TRUE	FALSE	42	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Protostomia;clade:Ecdysozoa;clade:Panarthropoda;phylum:Arthropoda;clade:Mandibulata;clade:Pancrustacea;subphylum:Hexapoda;class:Insecta;clade:Dicondylia;subclass:Pterygota;infraclass:Neoptera;cohort:Endopterygota;order:Hymenoptera;suborder:Apocrita;infraorder:Aculeata;superfamily:Formicoidea;family:Formicidae;subfamily:Myrmicinae;tribe:Attini;genus:Acromyrmex;species:Acromyrmex echinatior
Acropora_digitifera	70779	GCF_000222465.1	Cnidaria	Other Metazoans	TRUE	TRUE	FALSE	FALSE	50	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;phylum:Cnidaria;class:Anthozoa;subclass:Hexacorallia;order:Scleractinia;suborder:Astrocoeniina;family:Acroporidae;genus:Acropora;species:Acropora digitifera
Acropora_millepora	45264	GCF_013753865.1	Cnidaria	Other Metazoans	TRUE	TRUE	TRUE	FALSE	50	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;phylum:Cnidaria;class:Anthozoa;subclass:Hexacorallia;order:Scleractinia;suborder:Astrocoeniina;family:Acroporidae;genus:Acropora;species:Acropora millepora
Acyrthosiphon_pisum	7029	GCF_000142985.2	Hemiptera	Other Insects	TRUE	TRUE	TRUE	TRUE	35	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Protostomia;clade:Ecdysozoa;clade:Panarthropoda;phylum:Arthropoda;clade:Mandibulata;clade:Pancrustacea;subphylum:Hexapoda;class:Insecta;clade:Dicondylia;subclass:Pterygota;infraclass:Neoptera;cohort:Paraneoptera;order:Hemiptera;suborder:Sternorrhyncha;infraorder:Aphidomorpha;superfamily:Aphidoidea;family:Aphididae;subfamily:Aphidinae;tribe:Macrosiphini;genus:Acyrthosiphon;species:Acyrthosiphon pisum
Aedes_aegypti	7159	GCF_002204515.2	Diptera	Diptera	TRUE	TRUE	TRUE	FALSE	27	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Protostomia;clade:Ecdysozoa;clade:Panarthropoda;phylum:Arthropoda;clade:Mandibulata;clade:Pancrustacea;subphylum:Hexapoda;class:Insecta;clade:Dicondylia;subclass:Pterygota;infraclass:Neoptera;cohort:Endopterygota;order:Diptera;suborder:Nematocera;infraorder:Culicomorpha;superfamily:Culicoidea;family:Culicidae;subfamily:Culicinae;tribe:Aedini;genus:Aedes;subgenus:Stegomyia;species:Aedes aegypti
Alligator_mississippiensis	8496	GCF_000281125.3	Crocodylia	Other Vertebrates	TRUE	TRUE	TRUE	FALSE	39	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Deuterostomia;phylum:Chordata;subphylum:Craniata;clade:Vertebrata;clade:Gnathostomata;clade:Teleostomi;clade:Euteleostomi;superclass:Sarcopterygii;clade:Dipnotetrapodomorpha;clade:Tetrapoda;clade:Amniota;clade:Sauropsida;clade:Sauria;clade:Archelosauria;clade:Archosauria;order:Crocodylia;family:Alligatoridae;subfamily:Alligatorinae;genus:Alligator;species:Alligator mississippiensis
Anarrhichthys_ocellatus	433405	GCF_004355925.1	Teleostei	Teleostei	TRUE	TRUE	TRUE	FALSE	11	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Deuterostomia;phylum:Chordata;subphylum:Craniata;clade:Vertebrata;clade:Gnathostomata;clade:Teleostomi;clade:Euteleostomi;superclass:Actinopterygii;class:Actinopteri;subclass:Neopterygii;infraclass:Teleostei;clade:Osteoglossocephalai;no rank:Clupeocephala;cohort:Euteleosteomorpha;clade:Neoteleostei;clade:Eurypterygia;clade:Ctenosquamata;clade:Acanthomorphata;clade:Euacanthomorphacea;clade:Percomorphaceae;clade:Eupercaria;order:Perciformes;suborder:Cottioidei;infraorder:Zoarcales;family:Anarhichadidae;genus:Anarrhichthys;species:Anarrhichthys ocellatus
Anas_platyrhynchos	8839	GCF_015476345.1	Aves	Aves	TRUE	TRUE	TRUE	FALSE	50	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Deuterostomia;phylum:Chordata;subphylum:Craniata;clade:Vertebrata;clade:Gnathostomata;clade:Teleostomi;clade:Euteleostomi;superclass:Sarcopterygii;clade:Dipnotetrapodomorpha;clade:Tetrapoda;clade:Amniota;clade:Sauropsida;clade:Sauria;clade:Archelosauria;clade:Archosauria;clade:Dinosauria;clade:Saurischia;clade:Theropoda;clade:Coelurosauria;class:Aves;infraclass:Neognathae;superorder:Galloanserae;order:Anseriformes;family:Anatidae;subfamily:Anatinae;genus:Anas;species:Anas platyrhynchos
Ancylostoma_ceylanicum	53326	GCA_000402015.1	Nematoda	Nematoda	TRUE	TRUE	TRUE	FALSE	37	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Protostomia;clade:Ecdysozoa;phylum:Nematoda;class:Chromadorea;order:Strongylida;superfamily:Ancylostomatoidea;family:Ancylostomatidae;subfamily:Ancylostomatinae;genus:Ancylostoma;species:Ancylostoma ceylanicum
