Species	Base-substitution Mutation rate	Genome size (Mb)	Silent-site diversity	Dry Mass at Maturity  (µg)	Ne	Dry Mass at Maturity  (kg)
Anopheles coluzzii	0,00000000100000	266,00000	0,02600	350,0000	6673511	NA
Acyrthosiphon pisum	0,00000000027000	533,64900	0,00425	500,0000	3951981	0,0000005
Daphnia galeata	0,00000000074500	130,70000	0,00920	7,4005	3115915	7,40051615586443E-09
Anopheles stephensi	0,00000000136000	243,46000	0,01382	417,5000	2576965	0,0000004175
Heliconius melpomene	0,00000000290000	273,79000	0,02675	33200,0000	2369416	0,0000332
Pristionchus pacificus	0,00000000200000	169,70000	0,01400	1,1492	1774848	0,0000000011492
Daphnia pulex	0,00000000393500	133,20000	0,01457	22,2361	1494286	2,22360899463948E-08
Drosophila simulans	0,00000000450000	131,66000	0,02250	263,0000	1465440	0,000000263
Larimichthys crocea	0,00000000225529	657,94000	0,00903	125000000	1010407	0,125
Drosophila melanogaster	0,00000000486000	168,70000	0,01270	354,0000	627824	0,000000354
Bombyx mori	0,00000000410000	460,35000	0,00946	1416000,0000	582237	0,001416
Chironomus riparius	0,00000000542200	191,84000	0,01033	NA	481447	NA
Coturnix japonica	0,00000000567267	927,66000	0,00877	27000000,00	459553	0,027
Taeniopygia guttata	0,00000000584706	1056,27000	0,00985	3600000,00	425279	0,0036
Daphnia magna	0,00000000896000	139,90000	0,01500	163,3943	424900	1,63394270095374E-07
Clupea harengus	0,00000000200000	786,33000	0,00320	43125000,00	401284	0,043125
Chrysemys picta	0,00000000460803	2481,37000	0,00669	14250000	365465	0,01425
Drosophila pseudoobscura	0,00000000805000	163,28000	0,01000	1000,0000	350178	0,000001
Syngnathus scovelli	0,00000000558755	428,43000	0,00735	2500000	331375	0,0025
Sus scrofa / suis	0,00000000360000	2501,91000	NA	51000000000,00	320431	51
Caenorhabditis briggsae	0,00000000132770	104,00000	0,00142	0,1020	279619	1,01999999999999E-10
Pogona vitticeps	0,00000001433910	1716,68000	0,01575	100000000	278938	0,1
Cavia aperea	0,00000000866013	2716,40000	0,00943	228000000,00	274941	NA
Saxicola maurus	0,00000000667656	1020,37000	0,00629	4200000,00	236872	0,0042
Cervus nippon	0,00000000470592	2632,65332	0,00421	13500000000,00	224527	13,5
Gallus gallus	0,00000000362680	1053,33000	0,00321	750000000,00	221800	0,75
Ficedula albicollis	0,00000000460000	1118,34000	0,00400	3810000,00	218264	0,00381
Gyps fulvus	0,00000000261066	1223,56000	0,00214	2400000000,00	205211	2,4
Cynoglossus semilaevis	0,00000000913427	470,20000	0,00734	250000000	202500	0,25
Monodelphis domestica	0,00000000460160	3598,44000	0,00363	36000000,00	197962	0,036
Turdus merula	0,00000000696983	1012,06656	0,00541	30000000,00	195015	0,03
Betta splendens	0,00000000497000	441,39000	0,00322	625000	185229	0,000625
Eublepharis macularius	0,00000000575000	2117,07090	0,00423	16250000	184799	0,01625
Cyanistes caeruleus	0,00000000519389	1186,98000	0,00522	11000000,00	177579	0,011
Bombus terrestris	0,00000000358000	392,96000	0,00248	300000,0000	173832	0,0003
Apis mellifera 	0,00000000680000	231,15000	0,00443	22450,0000	163648	0,00002245
Mus musculus	0,00000000534755	2717,00000	0,00193	6300000,00	163119	0,0063
