species	nb_genes	nb_genes_filtered	nb_codon_not_decoded	rho_aa_fpkm	pval_aa_fpkm	rho_gc3_gci	pval_gc3_gci	gc3	std_gc3	var_gc3	gci	std_gci	var_gci
Microtus_ochrogaster	37795	15885	0	0.756595754107771	0.000113076201203124	0.78142475205424	0	0.605142490166724	0.000922569187195801	0.0135202620835162	0.459717748345757	0.000483372490286376	0.00342692936035103
Melospiza_melodia	14000	3879	0	0.643466864509449	0.00220595307957124	0.822613988954041	0	0.628420649524791	0.00268810892504668	0.0280293808909197	0.446665350640623	0.00147768501572742	0.00757692892979757
Lonchura_striata	29134	12280	0	0.795177116854619	0.0000278798554082042	0.846433937882637	0	0.618020715088811	0.00155607830318683	0.0297345425397675	0.453620957244339	0.000888487029731485	0.00923766648181659
Callithrix_jacchus	85133	18835	0	0.751888790567584	0.000131840068023983	0.824615393140113	0	0.594045783313297	0.00115094605755739	0.0249502880442087	0.458472489535324	0.000624314861396532	0.00643079949260326
Pelodiscus_sinensis	38587	14199	0	0.625517899662072	0.00318124941494289	0.79156945257227	0	0.534223746285003	0.0013540756225898	0.0260341617212341	0.465738408686315	0.000617100137317769	0.00512421406945072
Panthera_tigris	29473	12781	0	0.545944506952286	0.012767909499624	0.87128967776262	0	0.588787599934601	0.00135861756649954	0.0235917026654666	0.45947419571287	0.000787487229258679	0.00753155337470173
Monodelphis_domestica	49112	16670	0	0.583805178385833	0.00688135336652142	0.794142099401884	0	0.535917402148581	0.00110271982319711	0.0202705701112261	0.416016648590996	0.000600993190047326	0.005621243771803
Heterocephalus_glaber	60814	15233	0	0.595774614551689	0.005572770931311	0.844643719814445	0	0.613348118612476	0.00129168478419721	0.0254154924784411	0.460235309732211	0.000745107060413315	0.00790194143652313
Macaca_mulatta	67977	18074	0	0.792313349751464	0.0000312368438291016	0.824884492871926	0	0.598297015378808	0.00119910092576814	0.0259875749274372	0.461165034869863	0.000632231643973118	0.00655935353542802
Ornithorhynchus_anatinus	43095	14029	0	0.817463825551155	0.0000107870323604555	0.842606284907162	0	0.69954136284237	0.00142072439681894	0.0283169446405715	0.518707958177693	0.000751094347090534	0.00758377056118411
Erinaceus_europaeus	29382	14147	0	0.614111422845395	0.0039698505453533	0.854031111870747	0	0.618974698484704	0.00143835790680754	0.0292683529528678	0.465327344256812	0.000725645508812874	0.0070048463635353
Felis_catus	54726	15130	0	0.776063723888804	0.0000577058560725104	0.861478984711897	0	0.61935761256059	0.00132968247020228	0.0267506792847518	0.470181096582955	0.000764728447990754	0.00832242540573628
Rattus_norvegicus	56113	16774	0	0.631262889661069	0.00283632099684709	0.757020599445385	0	0.599130918689003	0.000856113520642308	0.0122941738624404	0.45968822102693	0.000429257999829794	0.00285606767147707
Mus_musculus	78443	16756	0	0.624910109735382	0.00321969564135843	0.766687728219403	0	0.598407921470745	0.000889896766824239	0.0132693487789045	0.456308967255511	0.000437700938111288	0.00298350821808359
Bos_taurus	63696	15315	0	0.313017394856489	0.179018830516101	0.846167433201235	0	0.627448797074201	0.00131308946719297	0.0264061834766855	0.466437176462139	0.000710471786795083	0.0072086226525579
Crocodylus_porosus	28676	12415	0	0.331322254142739	0.153582978778109	0.750211183754371	0	0.533098362079726	0.00140149807410146	0.024385503913981	0.458704767526367	0.000655578908562356	0.00509895388029388
Gallus_gallus	49681	15448	0	0.711112372124164	0.000439668336332138	0.87864422228205	0	0.602767265023421	0.00134101453611916	0.0277804471450083	0.474848027311497	0.000862394430707279	0.0107126027158715
Loxodonta_africana	41267	17492	0	0.700263306385088	0.000586046443119324	0.841371387227204	0	0.588260491326298	0.0010933728024874	0.0209110577786535	0.447863108226819	0.000611447319136371	0.00550034342785105
Cervus_elaphus	19243	8395	0	0.147479349499692	0.534936713422264	0.821000372757336	0	0.6460636505475	0.00168012263678414	0.0236975073665566	0.477445650549283	0.00103227317536099	0.00869093498229585
Sus_scrofa	63577	14344	0	0.82136147215093	0.00000901827692605861	0.85009029879984	0	0.627168110150113	0.00137419741163551	0.0270874753390342	0.473206433177393	0.000747775160315764	0.00754820465251071
Canis_lupus	62946	16507	0	0.733711282255228	0.000231537259618166	0.847126482850201	0	0.619098233401931	0.00129971416141003	0.027884563670911	0.46850890323383	0.000785823873401546	0.00947768406779986
Xenopus_tropicalis	39715	15868	0	0.763444958089005	0.0000898858337417296	0.642208085397016	0	0.480924567705724	0.000813079462478626	0.0104903064328483	0.400807725427909	0.000337512939862197	0.00168616960167061
Homo_sapiens	119294	17339	0	0.505643483998943	0.022939362219786	0.829416359284059	0	0.596583492858252	0.00123800999297167	0.0265749433296359	0.459487266513259	0.000643091634557085	0.00664767355392921
Equus_caballus	60900	16485	0	0.708585140923872	0.000470635315848484	0.856753141526918	0	0.621443880978617	0.00127186169629453	0.0266666663966523	0.465029201963418	0.000728610872581506	0.00816430822624083
Blattella_germanica	29581	10272	0	0.68272531286823	0.000909499872593694	0.111738216519725	0.0000000000000000000000000020493968009263	0.384490032829206	0.00101055878999066	0.0104900649867774	0.3370503083515	0.000231041332551832	0.000500064751949753
Cryptotermes_secundus	26728	11720	0	0.797590412975308	0.0000252978470961927	0.559093974396082	0	0.442959890499121	0.000899372409490087	0.0094799649667575	0.391558687332138	0.000278680770525232	0.000852195790225674
Zootermopsis_nevadensis	30187	11533	2	0.77657203412742	0.0000566517219328007	0.598334212792032	0	0.447226974360888	0.000968604380743729	0.0108201965502844	0.361831578497272	0.000330520989618448	0.001200374440867
Acyrthosiphon_pisum	27999	12840	0	0.636295902317398	0.00256028354275286	0.53687878491845	0	0.36261690577984	0.00141360013059543	0.0256577268271775	0.251036241933109	0.000422509204066626	0.00211039283335342
Cimex_lectularius	24194	11297	0	0.324812030075188	0.162323155769999	0.311662413502435	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104146867138113	0.466397544210079	0.00106948989278738	0.0129216061018579	0.314420770951734	0.000450119519786132	0.00207672771644811
