# species : Scientific name of the studied species
# aa_name : Amino acid 3-letter code
# codon : The Codon
# nb_genes : The number of gene per 2% bin of expression level
# rscu : Average RSCU of each codon
# fpkm : Median gene expression level per 2% bin
species	aa_name	codon	nb_genes	rscu	fpkm
Bactrocera_oleae	Val	GTT	197	1.01864122960447	0.00701025
Bactrocera_oleae	Val	GTT	196	0.990103853712566	0.01495215
Bactrocera_oleae	Val	GTT	197	1.01075975541489	0.0246294
Bactrocera_oleae	Val	GTT	196	1.01614302274946	0.0362504
Bactrocera_oleae	Val	GTT	197	0.99283975850803	0.05071595
Bactrocera_oleae	Val	GTT	196	0.981988615692018	0.069595975
Bactrocera_oleae	Val	GTT	197	1.06479114919855	0.09359795
Bactrocera_oleae	Val	GTT	196	1.0363394766149	0.12303
Bactrocera_oleae	Val	GTT	197	1.05021394838835	0.1531965
Bactrocera_oleae	Val	GTT	196	1.07529059105083	0.20301475
Bactrocera_oleae	Val	GTT	197	1.05758729987754	0.264235
Bactrocera_oleae	Val	GTT	196	1.01785492406937	0.331099
Bactrocera_oleae	Val	GTT	197	1.08457683220754	0.427119
Bactrocera_oleae	Val	GTT	196	0.976810093791688	0.54004125
Bactrocera_oleae	Val	GTT	197	0.956656664737113	0.688894
Bactrocera_oleae	Val	GTT	196	1.0699579429254	0.85532275
Bactrocera_oleae	Val	GTT	197	1.0722955710689	1.069534
Bactrocera_oleae	Val	GTT	196	1.05942636310292	1.295325
Bactrocera_oleae	Val	GTT	197	1.1052259464364	1.537815
Bactrocera_oleae	Val	GTT	196	0.982437132165704	1.7805075
Bactrocera_oleae	Val	GTT	197	1.05958510124245	2.093415
Bactrocera_oleae	Val	GTT	196	1.12075153082229	2.392175
Bactrocera_oleae	Val	GTT	197	1.11197822111062	2.721295
Bactrocera_oleae	Val	GTT	196	1.15362754627563	3.03065
Bactrocera_oleae	Val	GTT	197	1.10472745758065	3.37596
Bactrocera_oleae	Val	GTT	196	1.11133304478193	3.788855
Bactrocera_oleae	Val	GTT	196	1.1970481126872	4.245405
Bactrocera_oleae	Val	GTT	197	1.13876965548357	4.6717
