species	tRNA_GFF	prop_cds_expressed	nb_genes	nb_genes_filtered	nb_codon_not_decoded	rho_aa_fpkm	pval_aa_fpkm	rho_gc3_gci	pval_gc3_gci	g_abond_ag	c_duc_ic	gc3	var_gc3	gci	std_gci	var_gci	nb_aa_POC1	nb_genes_per_bins_POC1	nb_busco_POC1	S_POC1	expressed_overused_POC1	expressed_overused_background_POC1	constraint_overused_POC1	nb_aa_POC2	nb_genes_per_bins_POC2	nb_busco_POC2	S_POC2	expressed_overused_POC2	expressed_overused_background_POC2	constraint_overused_POC2	nb_aa_POCs	nb_genes_per_bins_POCs	nb_busco_POCs	S_POCs	expressed_overused_POCs	expressed_overused_background_POCs	constraint_overused_POCs
Microtus_ochrogaster	TRUE	0.816877506942302	20077	15885	0	0.756595754107771	0.000113076201203124	0.78142475205424	0	0.5	0.666666666666667	0.605142490166724	0.0135202620835162	0.459717748345757	0.000483372490286376	0.00342692936035103	11	317.7	833	0.194641349832647	4.861	4.289	2.34421338192542	6	317.7	833	-0.011537685331798	-0.278	0.263000000000002	0.502657451208534	17	317.7	833	0.156758009315718	3.914	3.672	2.16311811330154
Melospiza_melodia	FALSE	0.838159031979257	14000	3879	0	0.643466864509449	0.00220595307957124	0.822613988954041	0	0.545454545454545	1	0.628420649524791	0.0280293808909197	0.446665350640623	0.00147768501572742	0.00757692892979757	12	77.58	253	0.266506193437474	6.17	4.926	0.885806912903827	6	77.58	253	0.307355595865396	7.068	5.19799999999999	2.52593861712793	18	77.58	253	0.27779389526641	6.423	5.024	1.07534976109307
Lonchura_striata	TRUE	0.822229661868095	15577	12280	0	0.795177116854619	0.0000278798554082042	0.846433937882637	0	0.8	1	0.618020715088811	0.0297345425397675	0.453620957244339	0.000888487029731485	0.00923766648181659	13	245.6	815	0.486884403905634	11.748	8.59399999999999	3.23160871315428	5	245.6	815	0.866929524803229	19.565	10.981	3.76624413233393	18	245.6	815	0.541731893401389	12.973	9.066	3.37813243330393
Callithrix_jacchus	TRUE	0.874825824431027	22252	18835	0	0.751888790567584	0.000131840068023983	0.824615393140113	0	0.454545454545455	0.538461538461538	0.594045783313297	0.0249502880442087	0.458472489535324	0.000624314861396532	0.00643079949260326	12	376.7	727	0.0954565049045028	2.385	1.29500000000001	-1.1891706351446	6	376.7	727	0.0998632412596018	2.428	-0.0630000000000019	-0.388348547308401	18	376.7	727	0.102844050351601	2.56999999999999	1.18899999999999	-0.783353924884596
Pelodiscus_sinensis	TRUE	0.799853537629563	19518	14199	0	0.625517899662072	0.00318124941494289	0.79156945257227	0	0.461538461538462	0.428571428571429	0.534223746285003	0.0260341617212341	0.465738408686315	0.000617100137317769	0.00512421406945072	16	283.98	883	0.0779566519482912	1.827	1.738	-0.134006773375359	2	283.98	883	-0.0609929007539401	-1.523	0.254000000000004	-1.15371701999146	18	283.98	883	0.0658749745154494	1.55999999999999	1.58799999999999	-0.0579724426340085
Panthera_tigris	TRUE	0.761181585373117	18509	12781	0	0.545944506952286	0.012767909499624	0.87128967776262	0	0.454545454545455	0.928571428571429	0.588787599934601	0.0235917026654666	0.45947419571287	0.000787487229258679	0.00753155337470173	13	255.62	779	0.193247044116395	4.8	3.699	1.01198478361075	5	255.62	779	0.227135949431265	5.494	1.962	-0.576968580752712	18	255.62	779	0.203180200296383	5.032	3.451	0.681246577610566
Monodelphis_domestica	TRUE	0.825410972469796	20903	16670	0	0.583805178385833	0.00688135336652142	0.794142099401884	0	0.416666666666667	0.307692307692308	0.535917402148581	0.0202705701112261	0.416016648590996	0.000600993190047326	0.005621243771803	14	333.4	782	0.182157993488041	4.471	4.85700000000001	0.821055388207535	4	333.4	782	0.0117389572728786	0.292999999999999	1.353	-0.291033824012873	18	333.4	782	0.167713123990656	4.131	4.71099999999999	0.486383909819884
Heterocephalus_glaber	TRUE	0.805808294540838	19978	15233	0	0.595774614551689	0.005572770931311	0.844643719814445	0	0.454545454545455	0.615384615384615	0.613348118612476	0.0254154924784411	0.460235309732211	0.000745107060413315	0.00790194143652313	12	304.66	767	0.112216861692408	2.771	2.722	0.791215842909383	6	304.66	767	0.0614099175092639	1.473	0.370000000000004	-0.610414579031456	18	304.66	767	0.111759224430349	2.786	2.47	0.961818414205767
Macaca_mulatta	TRUE	0.880155831507183	21121	18074	0	0.792313349751464	0.0000312368438291016	0.824884492871926	0	0.333333333333333	0.384615384615385	0.598297015378808	0.0259875749274372	0.461165034869863	0.000632231643973118	0.00655935353542802	12	361.48	743	0.0805709150463103	2.014	1.375	0.0706871402040101	5	361.48	743	-0.0059968821212617	-0.146000000000002	-0.390999999999997	-1.00947743842651	17	361.48	743	0.068132513117835	1.702	1.117	-0.00208292691222479
Ornithorhynchus_anatinus	TRUE	0.789032620922385	18200	14029	0	0.817463825551155	0.0000107870323604555	0.842606284907162	0	0.461538461538462	0.625	0.69954136284237	0.0283169446405715	0.518707958177693	0.000751094347090534	0.00758377056118411	13	280.58	846	0.000478682025641275	0.0109999999999999	0.552999999999998	1.27871080645663	5	280.58	846	0.151363920558552	3.24099999999999	0.616	0.73195250707527	18	280.58	846	0.033327852278999	0.806000000000001	1.041	2.26180439345122
Erinaceus_europaeus	TRUE	0.774160008755609	19313	14147	0	0.614111422845395	0.0039698505453533	0.854031111870747	0	0.454545454545455	0.6	0.618974698484704	0.0292683529528678	0.465327344256812	0.000725645508812874	0.0070048463635353	11	282.94	845	0.127752270312496	2.95700000000001	2.86600000000001	0.177589824421168	6	282.94	845	0.0524571709469444	1.24300000000001	0.471000000000005	-0.196827779042834	17	282.94	845	0.114646618722662	2.674	2.35599999999999	-0.112220976034201
Felis_catus	TRUE	0.785484373377635	19748	15130	0	0.776063723888804	0.0000577058560725104	0.861478984711897	0	0.5	0.214285714285714	0.61935761256059	0.0267506792847518	0.470181096582955	0.000764728447990754	0.00832242540573628	13	302.6	812	0.110541712360796	2.74800000000001	2.63100000000001	0.710398940682659	5	302.6	812	-0.0544853473954995	-1.313	-1.347	-0.787992207426805	18	302.6	812	0.0899703222269411	2.23	2.073	0.453607125293543
Rattus_norvegicus	TRUE	0.766110984242978	22936	16774	0	0.631262889661069	0.00283632099684709	0.757020599445385	0	0.461538461538462	0.642857142857143	0.599130918689003	0.0122941738624404	0.45968822102693	0.000429257999829794	0.00285606767147707	12	335.48	706	0.108454493592277	2.658	2.051	0.167204998155822	6	335.48	706	-0.0339706294330809	-0.823000000000007	0.754999999999995	0.741718533933162	18	335.48	706	0.0866073330278019	2.11899999999999	1.97999999999999	0.0906487211158044
