species	type_aa	busco_id	freq	nb_site	nb_genes	categorie
Caenorhabditis_elegans	POC1	EOG091G00AH	0.480106100795756	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G00GM	0.468571428571429	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G00GQ	0.547309833024119	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G00L0	0.497630331753554	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G00MA	0.571428571428571	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G00MI	0.384615384615385	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G00Q0	0.54601226993865	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G00QT	0.487704918032787	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G00UD	0.604982206405694	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G00VZ	0.44	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G00Z3	0.51865671641791	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G011X	0.812056737588652	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G017G	0.571428571428571	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G017T	0.587719298245614	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G019V	0.656652360515021	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G01EW	0.477386934673367	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G01GC	0.4921875	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G01IW	0.69060773480663	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G01LC	0.46875	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G01MK	0.447368421052632	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G01TH	0.577586206896552	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G01TX	0.595454545454545	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G01VH	0.549763033175355	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G01WY	0.525316455696203	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G01XD	0.447916666666667	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G01XI	0.452380952380952	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G01XQ	0.551515151515152	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G01Z2	0.502369668246445	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G020E	0.452127659574468	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G020Y	0.608108108108108	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G023Z	0.468531468531469	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G024J	0.428571428571429	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G025T	0.460251046025105	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G0262	0.507936507936508	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G026F	0.569620253164557	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G026I	0.456896551724138	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G027G	0.701421800947867	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G028G	0.444976076555024	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G0291	0.50561797752809	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G029K	0.528089887640449	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02B4	0.466346153846154	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02BK	0.511111111111111	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02C8	0.484276729559748	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02FR	0.494949494949495	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02HY	0.54601226993865	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02IP	0.456273764258555	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02LY	0.440993788819876	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02MR	0.485148514851485	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02NH	0.582677165354331	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02NO	0.51219512195122	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02O5	0.472222222222222	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02O6	0.510869565217391	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02P2	0.494318181818182	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02UC	0.526315789473684	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02V5	0.716417910447761	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02VO	0.484126984126984	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02WU	0.624413145539906	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G02ZI	0.433333333333333	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G0307	0.513725490196078	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G031X	0.536764705882353	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G0321	0.503496503496504	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G0349	0.451851851851852	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G036A	0.488584474885845	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G038T	0.529411764705882	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G038X	0.526315789473684	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G03AN	0.512820512820513	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G03B9	0.450980392156863	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G03BV	0.569230769230769	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G03C0	0.487394957983193	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G03C7	0.626168224299065	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G03D7	0.567961165048544	309810	857	Highly constrained
Caenorhabditis_elegans	POC1	EOG091G03FL	0.505952380952381	309810	857	Highly constrained
